"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"03/03/2026","8.525,00","8.650,00","8.650,00","8.475,00","9,09M","-2,01%"
"02/03/2026","8.700,00","8.600,00","8.900,00","8.500,00","25,57M","4,50%"
"27/02/2026","8.325,00","8.150,00","8.450,00","8.100,00","18,38M","1,22%"
"26/02/2026","8.225,00","8.250,00","8.375,00","8.050,00","23,83M","-1,20%"
"25/02/2026","8.325,00","8.400,00","8.500,00","8.250,00","14,24M","0,00%"
"24/02/2026","8.325,00","8.700,00","8.825,00","8.275,00","29,04M","-0,89%"
"23/02/2026","8.400,00","8.150,00","8.700,00","8.150,00","39,35M","6,33%"
"20/02/2026","7.900,00","7.800,00","8.000,00","7.725,00","15,43M","1,28%"
"19/02/2026","7.800,00","7.825,00","8.275,00","7.725,00","30,53M","1,30%"
"18/02/2026","7.700,00","7.275,00","8.000,00","7.200,00","36,85M","5,48%"
"13/02/2026","7.300,00","7.125,00","7.475,00","7.050,00","18,96M","0,34%"
"12/02/2026","7.275,00","7.125,00","7.350,00","7.075,00","22,29M","2,46%"
"11/02/2026","7.100,00","7.325,00","7.400,00","7.050,00","41,49M","-2,74%"
"10/02/2026","7.300,00","7.450,00","7.950,00","7.175,00","50,87M","-2,67%"
"09/02/2026","7.500,00","6.650,00","7.700,00","6.575,00","67,88M","15,38%"
"06/02/2026","6.500,00","6.300,00","6.575,00","6.200,00","17,92M","-1,52%"
"05/02/2026","6.600,00","6.725,00","6.725,00","6.300,00","26,21M","-2,22%"
"04/02/2026","6.750,00","6.600,00","6.750,00","6.500,00","30,61M","3,85%"
"03/02/2026","6.500,00","6.350,00","6.650,00","5.775,00","40,33M","10,17%"
"02/02/2026","5.900,00","5.900,00","6.100,00","5.600,00","64,34M","-9,92%"
"30/01/2026","6.550,00","6.800,00","6.925,00","6.350,00","45,48M","-4,03%"
"29/01/2026","6.825,00","7.275,00","7.325,00","5.950,00","107,97M","-2,50%"
"28/01/2026","7.000,00","6.900,00","7.250,00","6.600,00","74,82M","0,00%"
"27/01/2026","7.000,00","7.350,00","7.400,00","6.950,00","42,25M","-4,11%"
"26/01/2026","7.300,00","6.550,00","7.350,00","6.425,00","96,84M","18,22%"
"23/01/2026","6.175,00","6.350,00","6.400,00","6.000,00","43,74M","3,78%"
"22/01/2026","5.950,00","6.200,00","6.300,00","5.850,00","52,81M","-6,30%"
"21/01/2026","6.350,00","6.575,00","6.800,00","6.150,00","54,36M","-2,31%"
"20/01/2026","6.500,00","5.500,00","6.600,00","5.400,00","68,49M","18,18%"
"19/01/2026","5.500,00","5.750,00","5.825,00","5.500,00","21,53M","-3,08%"
"15/01/2026","5.675,00","5.825,00","5.875,00","5.500,00","19,35M","-2,16%"
"14/01/2026","5.800,00","5.650,00","6.075,00","5.600,00","32,72M","3,11%"
"13/01/2026","5.625,00","5.500,00","5.650,00","5.350,00","21,84M","4,17%"
"12/01/2026","5.400,00","5.550,00","5.650,00","5.225,00","26,05M","0,93%"
"09/01/2026","5.350,00","5.025,00","5.425,00","5.025,00","15,60M","6,47%"
"08/01/2026","5.025,00","5.450,00","5.475,00","5.000,00","31,62M","-7,80%"
"07/01/2026","5.450,00","5.625,00","5.850,00","5.425,00","25,16M","-3,11%"
"06/01/2026","5.625,00","5.675,00","5.700,00","5.525,00","13,64M","0,00%"
"05/01/2026","5.625,00","5.800,00","5.875,00","5.425,00","19,23M","0,00%"
"02/01/2026","5.625,00","5.550,00","5.800,00","5.400,00","9,23M","1,35%"
"30/12/2025","5.550,00","5.450,00","5.600,00","5.275,00","18,28M","-1,33%"
"29/12/2025","5.625,00","5.700,00","5.750,00","5.600,00","14,17M","0,90%"
"24/12/2025","5.575,00","5.650,00","5.775,00","5.575,00","15,02M","0,45%"
"23/12/2025","5.550,00","5.850,00","5.925,00","5.350,00","37,76M","-0,89%"
"22/12/2025","5.600,00","5.300,00","5.900,00","5.300,00","45,03M","6,67%"
"19/12/2025","5.250,00","5.550,00","5.575,00","5.125,00","16,93M","-4,55%"
"18/12/2025","5.500,00","5.600,00","5.675,00","5.350,00","15,75M","0,92%"
"17/12/2025","5.450,00","5.400,00","5.725,00","5.375,00","25,75M","1,87%"
"16/12/2025","5.350,00","5.450,00","5.500,00","5.100,00","40,42M","-1,83%"
"15/12/2025","5.450,00","5.025,00","6.100,00","4.930,00","118,84M","10,77%"
"12/12/2025","4.920,00","4.570,00","4.970,00","4.510,00","57,44M","9,33%"
"11/12/2025","4.500,00","4.500,00","4.790,00","4.350,00","87,30M","1,12%"
"10/12/2025","4.450,00","4.050,00","4.460,00","4.050,00","76,34M","10,97%"
"09/12/2025","4.010,00","3.800,00","4.040,00","3.800,00","35,85M","5,80%"
"08/12/2025","3.790,00","3.650,00","3.840,00","3.650,00","14,63M","3,84%"
"05/12/2025","3.650,00","3.620,00","3.650,00","3.610,00","3,27M","1,11%"
"04/12/2025","3.610,00","3.660,00","3.660,00","3.570,00","7,71M","-1,37%"
"03/12/2025","3.660,00","3.710,00","3.730,00","3.660,00","9,69M","-1,35%"
"02/12/2025","3.710,00","3.740,00","3.760,00","3.710,00","5,78M","-0,80%"
"01/12/2025","3.740,00","3.750,00","3.770,00","3.680,00","12,00M","0,27%"
"28/11/2025","3.730,00","3.760,00","3.860,00","3.710,00","15,29M","-0,53%"
"27/11/2025","3.750,00","3.710,00","3.770,00","3.710,00","8,78M","1,35%"
"26/11/2025","3.700,00","3.690,00","3.770,00","3.690,00","17,82M","0,27%"
"25/11/2025","3.690,00","3.680,00","3.790,00","3.670,00","15,10M","0,54%"
"24/11/2025","3.670,00","3.700,00","3.750,00","3.670,00","12,07M","-0,81%"
"21/11/2025","3.700,00","3.690,00","3.750,00","3.670,00","10,47M","0,00%"
"20/11/2025","3.700,00","3.720,00","3.750,00","3.680,00","13,68M","-1,33%"
"19/11/2025","3.750,00","3.780,00","3.800,00","3.750,00","7,66M","-0,79%"
"18/11/2025","3.780,00","3.830,00","3.830,00","3.720,00","11,23M","-1,31%"
"17/11/2025","3.830,00","3.970,00","4.000,00","3.830,00","21,54M","-3,53%"
"14/11/2025","3.970,00","4.020,00","4.030,00","3.960,00","11,92M","-1,49%"
"13/11/2025","4.030,00","4.050,00","4.070,00","4.010,00","9,32M","0,50%"
"12/11/2025","4.010,00","4.090,00","4.110,00","4.000,00","13,27M","-1,72%"
"11/11/2025","4.080,00","4.110,00","4.160,00","4.040,00","16,91M","-0,49%"
"10/11/2025","4.100,00","4.090,00","4.200,00","4.080,00","19,80M","0,74%"
"07/11/2025","4.070,00","4.100,00","4.130,00","4.060,00","4,76M","-0,73%"
"06/11/2025","4.100,00","4.090,00","4.120,00","4.040,00","6,82M","0,24%"
"05/11/2025","4.090,00","4.030,00","4.090,00","3.960,00","17,33M","1,24%"
"04/11/2025","4.040,00","4.100,00","4.130,00","4.040,00","8,51M","-1,46%"
"03/11/2025","4.100,00","4.100,00","4.120,00","4.070,00","7,98M","0,24%"
"31/10/2025","4.090,00","4.150,00","4.190,00","4.080,00","11,21M","-0,49%"
"30/10/2025","4.110,00","4.100,00","4.190,00","4.100,00","17,24M","-1,20%"
"29/10/2025","4.160,00","4.100,00","4.220,00","4.070,00","26,19M","1,46%"
"28/10/2025","4.100,00","4.150,00","4.290,00","4.050,00","20,60M","-1,20%"
"27/10/2025","4.150,00","4.300,00","4.330,00","4.070,00","29,23M","-3,49%"
"24/10/2025","4.300,00","4.350,00","4.450,00","4.270,00","24,70M","0,00%"
"23/10/2025","4.300,00","4.140,00","4.410,00","4.060,00","37,08M","3,86%"
"22/10/2025","4.140,00","4.100,00","4.200,00","4.000,00","35,15M","-4,61%"
"21/10/2025","4.340,00","4.680,00","4.690,00","4.310,00","47,50M","-5,45%"
"20/10/2025","4.590,00","4.740,00","4.740,00","4.430,00","68,80M","-4,97%"
"17/10/2025","4.830,00","4.650,00","4.950,00","4.590,00","133,78M","6,86%"
"16/10/2025","4.520,00","4.430,00","4.630,00","4.400,00","73,95M","2,73%"
"15/10/2025","4.400,00","4.370,00","4.450,00","4.310,00","42,48M","2,09%"
"14/10/2025","4.310,00","4.500,00","4.570,00","4.150,00","75,36M","-1,82%"
"13/10/2025","4.390,00","4.210,00","4.480,00","4.200,00","65,60M","2,57%"
"10/10/2025","4.280,00","4.250,00","4.340,00","4.180,00","36,15M","-0,70%"
"09/10/2025","4.310,00","4.480,00","4.490,00","4.100,00","63,00M","-3,36%"
"08/10/2025","4.460,00","4.420,00","4.490,00","3.900,00","73,19M","2,53%"
"07/10/2025","4.350,00","4.540,00","4.600,00","4.330,00","49,99M","-4,19%"
"06/10/2025","4.540,00","4.690,00","4.700,00","4.300,00","112,63M","0,00%"
"03/10/2025","4.540,00","4.660,00","4.780,00","4.380,00","76,61M","-2,58%"
"02/10/2025","4.660,00","4.010,00","4.950,00","4.010,00","370,78M","16,50%"
"01/10/2025","4.000,00","3.680,00","4.080,00","3.640,00","155,11M","9,89%"
"30/09/2025","3.640,00","3.660,00","3.760,00","3.560,00","69,09M","0,00%"
"29/09/2025","3.640,00","3.350,00","3.720,00","3.340,00","140,41M","8,33%"
"26/09/2025","3.360,00","3.360,00","3.480,00","3.260,00","83,88M","1,82%"
"25/09/2025","3.300,00","3.550,00","3.550,00","3.100,00","444,06M","-9,34%"
"24/09/2025","3.640,00","4.500,00","4.500,00","3.590,00","736,49M","1,11%"
